Sector,Count Type,Year,State,Value
RESIDENTIAL,Revenues,2015,VT,356986
RESIDENTIAL,Revenues,2015,WA,3098110
RESIDENTIAL,Revenues,2015,WI,2994383
RESIDENTIAL,Revenues,2015,WV,1153344
RESIDENTIAL,Revenues,2015,WY,293517
RESIDENTIAL,Revenues,2015,US,162856995
RESIDENTIAL,Revenues,2014,AK,391068
RESIDENTIAL,Revenues,2014,AL,3781917
RESIDENTIAL,Revenues,2014,AR,1753284
RESIDENTIAL,Revenues,2014,AZ,3848998
RESIDENTIAL,Revenues,2014,CA,14399283
RESIDENTIAL,Revenues,2014,CO,2203838
RESIDENTIAL,Revenues,2014,CT,1463082
RESIDENTIAL,Revenues,2014,DC,216578
RESIDENTIAL,Revenues,2014,DE,566762
RESIDENTIAL,Revenues,2014,FL,13854538
RESIDENTIAL,Revenues,2014,GA,6659464
RESIDENTIAL,Revenues,2014,HI,957073
RESIDENTIAL,Revenues,2014,IA,1610036
RESIDENTIAL,Revenues,2014,ID,791099
RESIDENTIAL,Revenues,2014,IL,2451770
RESIDENTIAL,Revenues,2014,IN,3861636
RESIDENTIAL,Revenues,2014,KS,1665583
RESIDENTIAL,Revenues,2014,KY,2785001
RESIDENTIAL,Revenues,2014,LA,3005472
RESIDENTIAL,Revenues,2014,MA,2885568
RESIDENTIAL,Revenues,2014,MD,2782977
RESIDENTIAL,Revenues,2014,ME,11901
RESIDENTIAL,Revenues,2014,MI,4846415
RESIDENTIAL,Revenues,2014,MN,2737895
RESIDENTIAL,Revenues,2014,MO,3807788
RESIDENTIAL,Revenues,2014,MS,2141264
RESIDENTIAL,Revenues,2014,MT,505961
RESIDENTIAL,Revenues,2014,NC,6511383
RESIDENTIAL,Revenues,2014,ND,490071
RESIDENTIAL,Revenues,2014,NE,1043023
RESIDENTIAL,Revenues,2014,NH,655272
RESIDENTIAL,Revenues,2014,NJ,3584435
RESIDENTIAL,Revenues,2014,NM,812034
RESIDENTIAL,Revenues,2014,NV,1541121
RESIDENTIAL,Revenues,2014,NY,7807078
RESIDENTIAL,Revenues,2014,OH,3768287
RESIDENTIAL,Revenues,2014,OK,2343199
RESIDENTIAL,Revenues,2014,OR,1948732
RESIDENTIAL,Revenues,2014,PA,4289816
